Organization - Name,Organization - Address,Geocoded Address,Latitude,Longitude,Organization - Locality,Organization - New Coverage,Organization - Used Coverage,Organization - Closed deals,Organization - Open deals
Ackerman Toyota,"Ackerman Toyota, Hampton Avenue, St. Louis, MO, USA","Ackerman Toyota, 2020, Hampton Avenue, The Hill, Ellendale, Saint Louis, Missouri, 63139, United States",38.6196629,-90.2877421,Local,,,0,0
Audi Creve Coeur,"Audi Creve Coeur, Olive Boulevard, Creve Coeur, MO, USA","Audi, Olive Boulevard, Creve Coeur, Saint Louis County, Missouri, 63141, United States of America",38.6703144,-90.4445789,Local,,,0,2
BMW of Columbia,"1900 Interstate 70 Dr SW, Columbia, MO 65203","1900, I- 70 Drive Southwest, Columbia, Boone County, Missouri, 65203, United States of America",38.9660013,-92.3658507,,ShortCut Pack,ShortCut Pack,0,21
BMW of West St. Louis,"14417 Manchester Rd, Manchester, MO 63011","14417, Manchester Road, Manchester, Saint Louis County, Missouri, 63011, United States of America",38.5935178,-90.5172807,Local,NA,Flyout,0,16
Bommarito Automotive Group,"15736 Manchester Rd, Ellisville, MO 63011, USA","Bommarito Mazda - West County, 15736, Manchester Road, Ellisville, Saint Louis County, Missouri, 63011, United States of America",38.5919798,-90.5791758,Local,,,0,0
Bommarito Ford,"675 Dunn Road, Hazelwood, MO 63042, USA","675, Dunn Road, Hazelwood, Saint Louis County, Missouri, 63042, United States of America",38.7816575,-90.3715382,Local,,,0,0
Bommarito Honda,"330 Brookes Drive, Hazelwood, MO 63042","330, Brookes Drive, Hazelwood, Saint Louis County, Missouri, 63042, United States of America",38.7759257,-90.3611785,Local,,,0,0
Bommarito Infiniti,"15700 Manchester Road, Ellisville, MO 63011, USA","15700, Manchester Road, Ellisville, Saint Louis County, Missouri, 63011, United States of America",38.5920883,-90.5786057,Local,,,0,5
Bommarito Nissan,"661 Dunn Rd, Hazelwood, MO 63042, USA","661, Dunn Road, Hazelwood, Saint Louis County, Missouri, 63042, United States of America",38.7815362,-90.3710642,Local,,,0,2
Bommarito Nissan West,"14747 Manchester Rd, Ballwin, MO 63011, USA","Bommarito Nissan Ballwin, 14747, Manchester Road, Ballwin, Saint Louis County, Missouri, 63011, United States",38.5937193,-90.5328992,Local,,,0,12
Bommarito Volkswagen,"400 Brookes Drive, Hazelwood, MO 63042, USA","400, Brookes Drive, Hazelwood, Saint Louis County, Missouri, 63042, United States of America",38.7766669,-90.3613796,Local,,,0,5
Bommarito West County Pre-Owned,"15736 Manchester Road, Ellisville, MO 63011","Bommarito Mazda - West County, 15736, Manchester Road, Ellisville, Saint Louis County, Missouri, 63011, United States",38.5919798,-90.5791758,Local,NA,Flyout,0,9
Briggs Autogroup - Manhattan,"2312 Stagg Hill Road, Manhattan, KS 66502, USA","Briggs, 2312, Stagg Hill Road, Manhattan, Riley County, Kansas, 66502, United States",39.1680336,-96.5977178,,,,0,1
Briggs KIA of Topeka,"3137 S Kansas Ave, Topeka, KS 66611, USA","3137, South Kansas Avenue, Topeka, Shawnee County, Kansas, 66611, United States of America",39.0106767,-95.6825274,,,,0,2
Briggs Nissan of Manhattan,"2500 Stagg Hill Rd, Manhattan, KS 66502, USA","2500, Stagg Hill Road, Manhattan, Riley County, Kansas, 66502, United States",39.1681545,-96.6000608,,,,0,1
Capital City CDJR,"3201 Missouri Blvd, Jefferson City, MO 65109","Missouri Boulevard, Jefferson City, Cole County, Missouri, 65109, United States of America",38.5813522,-92.2420047,,,,1,14
Cavallino Rosso St. Louis (Ferrari),"3000 S Hanley Rd, St. Louis, MO 63143","3000, South Hanley Road, Maplewood, Saint Louis County, Missouri, 63143, United States",38.609239,-90.333462,Local,,,0,0
CDJR of Columbia,"500 Vandiver Dr, Columbia, MO 65202, USA","500, Vandiver Drive, Columbia, Columbia Township, Boone County, Missouri, 65202, United States of America",38.97152,-92.331159,Local,ShortCut,ShortCut Pack,0,26
Clement,"190 Spring Dr, St Charles, MO 63303","190, Spring Drive, Saint Charles, Saint Charles County, Missouri, 63303, United States of America",38.7853656,-90.5546971,Local,,,0,0
Columbia Honda,"1650 Heriford Rd, Columbia, MO 65202","Heriford Road, Columbia, Columbia Township, Boone County, Missouri, 65202, United States of America",38.9684693,-92.3109424,,None,Flyout,0,20
Dave Sinclair Ford,"7466 S Lindbergh Blvd, St. Louis, MO 63125","7466, South Lindbergh Boulevard, Saint Louis County, Missouri, 63125, United States of America",38.5047778,-90.3238973,Local,,,0,0
Dave Sinclair Lincoln,"13980 Manchester Rd, Ballwin, MO 63011","Manchester Road, Ballwin, Saint Louis County, Missouri, 63011, United States of America",38.5929786,-90.5437428,Local,ShortCut Pack,Flyout,0,19
Dave Sinclair Lincoln St. Peters,"4760 N Service Rd, St Peters, MO 63376","Dave Sinclair Lincoln St. Peters, 4760, North Service Road, Saint Peters, Saint Charles County, Missouri, 63376, United States of America",38.7994462,-90.5984636,Local,ShortCut Pack,NA,0,12
